"","year","quarter","qBachelors","qSomecoll","qHSgrad","qLessHS","qpopBachelors","qpopSomecoll","qpopHSgrad","qpopLessHS"
"42",1989,2,1.82684091586186,2.99848907241472,4.07212207842338,7.90559640470678,10.8549078527358,34.134913667154,39.3241741453664,15.6860043347438
"43",1989,3,2.50039334162853,2.99066037822419,4.44667458921424,7.78415232143174,10.8352472470181,34.4867278004481,39.1545148740288,15.523510078505
"44",1989,4,1.83847396971692,2.91415594406483,4.4798378112025,7.47830189559821,11.0633643048386,35.1847954458961,38.3411645973918,15.4106756518736
"45",1990,1,1.77728520709071,3.50858169845449,5.74282858895065,8.87620638218592,10.7888750069597,35.363776091988,38.5587095401971,15.2886393608552
"46",1990,2,1.8704287532327,3.17701402576334,4.49623837550826,7.86500016537377,10.746432507236,35.4016660747777,38.3203449567987,15.5315564611877
"47",1990,3,2.46962918961769,3.56191514643627,4.69901451814458,8.1937136653665,10.8008014802166,35.1497811661167,38.7097731657545,15.3396441879122
"48",1990,4,1.91300504924856,3.27602372334701,5.43239252371977,8.80808430424028,11.1367816209163,35.2259399180861,38.2616052258365,15.3756732351612
"49",1991,1,2.05501463838911,4.38058803496466,6.76426462963427,12.6301694505344,10.8983628415165,35.6818785291615,38.6043095433237,14.8154490859983
"50",1991,2,2.66538240439524,4.03099778456429,5.89105192518107,10.6635933461267,10.7639928844193,35.8612204572791,38.3720545923952,15.0027320659064
"51",1991,3,2.86683202869409,4.08995283797682,5.77918206952538,9.8662822804095,10.8405186893678,36.019057159539,38.2384672792108,14.9019568718823
"52",1991,4,2.27340073075102,4.2856909984008,5.94969437220524,11.0213935004484,11.0729295086725,36.0887483688073,38.1819122340314,14.6564098884888
"53",1992,1,3.07932050299219,6.05585126288467,8.25470757057952,12.3457281070357,23.938957281656,23.6937132966873,36.6619395935445,15.7053898281123
"54",1992,2,3.03577001789506,5.91644322565231,6.72577896082475,11.7041639274711,23.4875757760671,24.2056735308684,37.0724413598887,15.2343093331757
"55",1992,3,3.14209451358917,5.79441204816939,6.67583691119644,11.6692626824382,24.0193979428673,24.5075650199655,36.5853320398706,14.8877049972965
"56",1992,4,3.23920893028967,5.36767811480794,6.39441518664997,11.6215978895459,24.221299472827,24.9432135331182,36.4750293545851,14.3604576394697
"57",1993,1,3.23796987075009,5.92581015126111,7.25662649279982,13.3165042197398,24.5164464380452,24.5692363680145,36.1725062305463,14.741810963394
"58",1993,2,3.09884152833785,5.36151162075536,6.21155390885204,10.7628844007578,24.0113721352283,25.317824476899,36.2121186731781,14.4586847146946
"59",1993,3,3.00395027132705,5.32095806230792,6.38355487903237,10.8218606526512,24.1312223560399,25.4939632574669,36.4083199428286,13.9664944436645
"60",1993,4,2.59588633351166,5.25937104377438,5.83608085732222,10.6622300273174,24.6676508067903,25.8250606116982,35.8702498350771,13.6370387464344
"61",1994,1,2.84894678778021,4.69396063011695,6.74133890963342,12.5750361323705,24.6312823702054,26.0006000558083,35.7594066222264,13.6087109517599
"62",1994,2,2.62627394823714,4.86418437243891,5.34839002483395,9.81608213038489,24.7703013150187,26.269013845961,34.8700661091726,14.0906187298477
"63",1994,3,2.92236376819119,4.29960246776122,4.79757431974424,8.82551383645273,25.1430218362999,26.5509679219787,34.9716466733401,13.3343635683813
