"","year","quarter","qMen","qWomen","qpopMen","qpopWomen"
"51",1991,3,5.1777274931889,5.37324031277315,48.1732044923256,51.8267955076744
"52",1991,4,5.68201487530811,5.16756549289815,47.8855989817365,52.1144010182635
"53",1992,1,7.46367517515335,6.06135712857638,47.8698749542717,52.1301250457283
"54",1992,2,6.63201387785267,5.62052876927438,48.0488867188031,51.9511132811969
"55",1992,3,6.01912211900672,6.24407525218357,48.1538480536517,51.8461519463483
"56",1992,4,5.9746310742985,5.77644458546301,47.888061818468,52.111938181532
"57",1993,1,7.0811960774949,5.83437003792992,47.9245595026827,52.0754404973173
"58",1993,2,5.95038828714833,5.36327089361511,47.8365435029978,52.1634564970022
"59",1993,3,5.52908855133819,5.88030510416382,47.9863503821099,52.0136496178901
"60",1993,4,5.24073280992271,5.40918407477326,48.0874741136113,51.9125258863887
"61",1994,1,5.89621209791708,5.55396851662224,47.9022884842156,52.0977115157844
"62",1994,2,4.94364574974185,4.98709581605577,47.9214256971285,52.0785743028715
"63",1994,3,4.10218772711746,5.10409548012015,47.8191077102858,52.1808922897142
"64",1994,4,4.21671795924495,4.16099383765854,48.0034285744978,51.9965714255022
"65",1995,1,4.75242094627784,4.55374304970035,48.0895309762517,51.9104690237483
"66",1995,2,4.3262099698453,4.02571723203488,48.0707887111204,51.9292112888796
"67",1995,3,3.69689120930572,4.83856265915919,47.772397945614,52.227602054386
"68",1995,4,4.10477734460644,3.8569745859121,47.7996383748389,52.2003616251611
"69",1996,1,4.7258710414916,4.56325895861506,48.1336103492241,51.8663896507759
"70",1996,2,4.05182840938603,3.96702939141806,47.9507183296001,52.0492816703999
"71",1996,3,3.46471384892493,4.44792561799615,47.9582251971342,52.0417748028658
"72",1996,4,3.6589723514107,4.04647246236783,47.8559617582821,52.1440382417179
"73",1997,1,4.58896590842946,4.32387953839039,48.0628298126577,51.9371701873423
"74",1997,2,3.48649378778054,3.65132982091066,48.0059589784973,51.9940410215027
"75",1997,3,3.10468840438474,4.27280791830408,48.2493423981429,51.7506576018571
"76",1997,4,3.17385599889576,3.35297932345229,48.1648154485817,51.8351845514183
"77",1998,1,3.66019428365277,4.07943018145743,48.2586319387373,51.7413680612627
"78",1998,2,3.01441787400671,3.19203639978531,48.0491449607025,51.9508550392975
"79",1998,3,3.09614334030576,3.66111652732108,48.2804930275452,51.7195069724548
