Series ID,Year,Period,Label,Value
LNS14027660,2013,M08,2013 Aug,7.4
LNS14027660,2013,M09,2013 Sep,7.6
LNS14027660,2013,M10,2013 Oct,7.2
LNS14027660,2013,M11,2013 Nov,7.2
LNS14027660,2013,M12,2013 Dec,7.0
LNS14027660,2014,M01,2014 Jan,6.5
LNS14027660,2014,M02,2014 Feb,6.4
LNS14027660,2014,M03,2014 Mar,6.3
LNS14027660,2014,M04,2014 Apr,6.2
LNS14027660,2014,M05,2014 May,6.5
LNS14027660,2014,M06,2014 Jun,5.9
LNS14027660,2014,M07,2014 Jul,6.1
LNS14027660,2014,M08,2014 Aug,6.1
LNS14027660,2014,M09,2014 Sep,5.4
LNS14027660,2014,M10,2014 Oct,5.7
LNS14027660,2014,M11,2014 Nov,5.7
LNS14027660,2014,M12,2014 Dec,5.3
LNS14027660,2015,M01,2015 Jan,5.4
LNS14027660,2015,M02,2015 Feb,5.4
LNS14027660,2015,M03,2015 Mar,5.3
LNS14027660,2015,M04,2015 Apr,5.5
LNS14027660,2015,M05,2015 May,5.8
LNS14027660,2015,M06,2015 Jun,5.4
LNS14027660,2015,M07,2015 Jul,5.5
LNS14027660,2015,M08,2015 Aug,5.5
LNS14027660,2015,M09,2015 Sep,5.3
LNS14027660,2015,M10,2015 Oct,5.2
LNS14027660,2015,M11,2015 Nov,5.4
LNS14027660,2015,M12,2015 Dec,5.6
LNS14027660,2016,M01,2016 Jan,5.2
LNS14027660,2016,M02,2016 Feb,5.2
LNS14027660,2016,M03,2016 Mar,5.3
LNS14027660,2016,M04,2016 Apr,5.5
LNS14027660,2016,M05,2016 May,5.1
LNS14027660,2016,M06,2016 Jun,5.1
LNS14027660,2016,M07,2016 Jul,5.1
LNS14027660,2016,M08,2016 Aug,5.0
LNS14027660,2016,M09,2016 Sep,5.3
LNS14027660,2016,M10,2016 Oct,5.4
LNS14027660,2016,M11,2016 Nov,5.0
LNS14027660,2016,M12,2016 Dec,5.1
LNS14027660,2017,M01,2017 Jan,5.2
LNS14027660,2017,M02,2017 Feb,4.9
LNS14027660,2017,M03,2017 Mar,4.9
LNS14027660,2017,M04,2017 Apr,4.6
LNS14027660,2017,M05,2017 May,4.8
LNS14027660,2017,M06,2017 Jun,4.6
LNS14027660,2017,M07,2017 Jul,4.5
LNS14027660,2017,M08,2017 Aug,5.1
LNS14027660,2017,M09,2017 Sep,4.4
LNS14027660,2017,M10,2017 Oct,4.2
LNS14027660,2017,M11,2017 Nov,4.4
LNS14027660,2017,M12,2017 Dec,4.2
LNS14027660,2018,M01,2018 Jan,4.4
LNS14027660,2018,M02,2018 Feb,4.4
LNS14027660,2018,M03,2018 Mar,4.3
LNS14027660,2018,M04,2018 Apr,4.3
LNS14027660,2018,M05,2018 May,3.9
LNS14027660,2018,M06,2018 Jun,4.1
LNS14027660,2018,M07,2018 Jul,4.1
LNS14027660,2018,M08,2018 Aug,3.9
LNS14027660,2018,M09,2018 Sep,3.8
LNS14027660,2018,M10,2018 Oct,4.0
LNS14027660,2018,M11,2018 Nov,3.5
LNS14027660,2018,M12,2018 Dec,3.8
LNS14027660,2019,M01,2019 Jan,3.7
LNS14027660,2019,M02,2019 Feb,3.7
LNS14027660,2019,M03,2019 Mar,3.7
LNS14027660,2019,M04,2019 Apr,3.4
LNS14027660,2019,M05,2019 May,3.6
LNS14027660,2019,M06,2019 Jun,3.9
LNS14027660,2019,M07,2019 Jul,3.6
LNS14027660,2019,M08,2019 Aug,3.6
LNS14027660,2019,M09,2019 Sep,3.6
LNS14027660,2019,M10,2019 Oct,3.7
LNS14027660,2019,M11,2019 Nov,3.7
LNS14027660,2019,M12,2019 Dec,3.7
