"","year","quarter","qWhite","qBlack","qNative","qAsianPacific","qOther","qpopWhite","qpopBlack","qpopNative","qpopAsianPacific","qpopOther"
"41",1989,1,3.87387331989195,10.2466511681177,12.3176251964514,3.27643715548427,NA,86.6623349567666,9.71925288052261,0.931257755148522,2.49714690191169,0.190007505650627
"42",1989,2,3.38825518512523,7.71858598523457,8.29422655547901,3.97584305788759,NA,87.3737946996886,8.90795466203095,0.860270269572717,2.65822782461359,0.199752544094101
"43",1989,3,3.57885450690092,8.13090876782061,10.5103587887362,2.3660540008877,NA,86.3516711396322,9.79971339326578,0.852791789678603,2.83652814587272,0.159295531550704
"44",1989,4,3.37289437589836,8.65350367964829,6.81860447218818,2.80697393937702,NA,86.4691846329891,9.81879599034496,0.869794534709017,2.67904327131103,0.16318157064586
"45",1990,1,4.18928720136607,9.42179492848304,12.2934390040641,3.8241661445351,NA,86.4618802333806,9.52605331525703,0.873948954034267,2.92483018429899,0.213287313029145
"46",1990,2,3.5993904468472,7.67373557450556,9.99932017591934,3.31205142972154,10.6019158717762,86.3167857513396,9.48754602681821,0.884291066313272,3.03898877280025,0.272388382728681
"47",1990,3,3.79788151426443,9.09628163563331,8.12025573107818,4.3837588608574,13.8295598852759,86.0997896239291,9.74176717826515,0.880521057579484,3.038823265093,0.239098875133274
"48",1990,4,3.94037772464622,8.93097341400028,13.2181672147947,5.19879439198199,7.43858625999844,86.0344237168435,9.8745096989828,0.940273902257606,2.92254274377919,0.228249938136906
"49",1991,1,5.44865839219047,10.0434925636093,11.8762975788543,5.15702247783739,5.65018483315023,86.3521549001984,9.42043470722028,0.928704060732972,3.01647026861834,0.282236063230055
"50",1991,2,4.9005034588526,9.2739121144294,6.36266688582245,4.29922208745672,NA,86.1075304260923,9.38257845251024,0.9292195121066,3.3397039457842,0.24096766350671
"51",1991,3,4.69255094418947,9.33102526172396,11.0581143153276,4.87111024494317,11.8889864011045,85.9798917041471,9.7068976258306,0.871379990010061,3.09573810805272,0.346092571959557
"52",1991,4,4.96714642213891,9.08730390677765,10.0750558896839,4.70833469422213,8.48218736591316,85.6404272525712,9.86824371187734,0.984927405947597,3.19025270003972,0.316148929564166
