Series ID,Year,Period,Label,Value
LNS14027662,2015,M09,2015 Sep,2.5
LNS14027662,2015,M10,2015 Oct,2.5
LNS14027662,2015,M11,2015 Nov,2.5
LNS14027662,2015,M12,2015 Dec,2.5
LNS14027662,2016,M01,2016 Jan,2.5
LNS14027662,2016,M02,2016 Feb,2.5
LNS14027662,2016,M03,2016 Mar,2.6
LNS14027662,2016,M04,2016 Apr,2.4
LNS14027662,2016,M05,2016 May,2.5
LNS14027662,2016,M06,2016 Jun,2.5
LNS14027662,2016,M07,2016 Jul,2.5
LNS14027662,2016,M08,2016 Aug,2.6
LNS14027662,2016,M09,2016 Sep,2.5
LNS14027662,2016,M10,2016 Oct,2.6
LNS14027662,2016,M11,2016 Nov,2.4
LNS14027662,2016,M12,2016 Dec,2.5
LNS14027662,2017,M01,2017 Jan,2.5
LNS14027662,2017,M02,2017 Feb,2.4
LNS14027662,2017,M03,2017 Mar,2.4
LNS14027662,2017,M04,2017 Apr,2.5
LNS14027662,2017,M05,2017 May,2.3
LNS14027662,2017,M06,2017 Jun,2.3
LNS14027662,2017,M07,2017 Jul,2.3
LNS14027662,2017,M08,2017 Aug,2.4
LNS14027662,2017,M09,2017 Sep,2.3
LNS14027662,2017,M10,2017 Oct,2.1
LNS14027662,2017,M11,2017 Nov,2.1
LNS14027662,2017,M12,2017 Dec,2.2
LNS14027662,2018,M01,2018 Jan,2.1
LNS14027662,2018,M02,2018 Feb,2.2
LNS14027662,2018,M03,2018 Mar,2.2
LNS14027662,2018,M04,2018 Apr,2.1
LNS14027662,2018,M05,2018 May,2.0
LNS14027662,2018,M06,2018 Jun,2.3
LNS14027662,2018,M07,2018 Jul,2.2
LNS14027662,2018,M08,2018 Aug,2.0
LNS14027662,2018,M09,2018 Sep,2.0
LNS14027662,2018,M10,2018 Oct,2.0
LNS14027662,2018,M11,2018 Nov,2.2
LNS14027662,2018,M12,2018 Dec,2.2
LNS14027662,2019,M01,2019 Jan,2.4
LNS14027662,2019,M02,2019 Feb,2.2
LNS14027662,2019,M03,2019 Mar,2.0
LNS14027662,2019,M04,2019 Apr,2.1
LNS14027662,2019,M05,2019 May,2.1
LNS14027662,2019,M06,2019 Jun,2.1
LNS14027662,2019,M07,2019 Jul,2.1
LNS14027662,2019,M08,2019 Aug,2.1
LNS14027662,2019,M09,2019 Sep,2.0
LNS14027662,2019,M10,2019 Oct,2.1
LNS14027662,2019,M11,2019 Nov,2.0
LNS14027662,2019,M12,2019 Dec,1.9
LNS14027662,2020,M01,2020 Jan,2.0
LNS14027662,2020,M02,2020 Feb,1.9
LNS14027662,2020,M03,2020 Mar,2.5
LNS14027662,2020,M04,2020 Apr,8.4
